Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Bibern SO;4578;0;Buchegg;SO;601130;221909
Biberstein;5023;0;Biberstein;AG;648495;251880
Bichelsee;8363;0;Bichelsee-Balterswil;TG;711813;256638
Bichwil;9248;0;Oberuzwil;SG;728144;253399
Bidogno;6958;0;Capriasca;TI;720762;104187
Biel VS;3989;0;Grafschaft;VS;659745;145371
Biel-Benken BL;4105;0;Biel-Benken;BL;606077;261426
Biel/Bienne;2505;0;Biel/Bienne;BE;583260;220325
Biel/Bienne;2502;0;Biel/Bienne;BE;585367;221240
Biel/Bienne;2504;0;Biel/Bienne;BE;585435;221177
Biel/Bienne;2503;0;Biel/Bienne;BE;585797;220065
Bielersee;9999;0;;BE;580261;215168
Biembach im Emmental;3419;0;Hasle bei Burgdorf;BE;613504;204695
Biessenhofen;8580;8;Amriswil;TG;737133;267791
Bieudron (Nendaz);1996;2;Nendaz;VS;587733;115852
Biezwil;4585;0;Biezwil;SO;598242;218394
Bigenthal;3513;0;Walkringen;BE;614309;201581
Biglen;3507;0;Biglen;BE;614487;197671
Bignasco;6676;0;Cevio;TI;690117;132578
Bigorio;6954;1;Capriasca;TI;717391;103343
Billens;1681;0;Billens-Hennens;FR;558804;171218
Bilten;8865;0;Glarus Nord;GL;720635;223224
Binn;3996;0;Binn;VS;657334;135140
Binningen;4102;0;Binningen;BL;610456;265389
Binz;8122;0;Maur;ZH;689783;245779
Bioggio;6934;0;Bioggio;TI;714085;97118.1
Biogno-Beride;6981;12;Croglio;TI;708720;94943.7
Bioley-Magnoux;1407;4;Bioley-Magnoux;VD;544440;175333
Bioley-Orjulaz;1042;3;Bioley-Orjulaz;VD;535568;163745
Bionnens;1670;2;Ursy;FR;555343;165033
Birgisch;3903;1;Naters;VS;639979;129835
Birmensdorf ZH;8903;0;Birmensdorf (ZH);ZH;676048;245170
Birmenstorf AG;5413;0;Birmenstorf (AG);AG;660495;257099
Bironico;6804;0;Monteceneri;TI;715839;108194
Birr;5242;1;Birr;AG;658018;254069
Birrhard;5244;0;Birrhard;AG;660556;254108
Birrwil;5708;0;Birrwil;AG;657421;237973
Birsfelden;4127;0;Birsfelden;BL;614069;267208
Birwinken;8585;9;Birwinken;TG;732246;271851
Bischofszell;9220;0;Bischofszell;TG;735410;262065
Bisisthal;6436;2;Muotathal;SZ;706036;200145
Bissone;6816;0;Bissone;TI;718483;90062.6
Bister;3983;2;Bister;VS;648164;134519
Bitsch;3982;0;Bitsch;VS;644045;131874
Bivio;7457;0;Bivio;GR;769985;148752
Bière;1145;0;Bière;VD;515220;154694
Blankenburg;3771;0;Zweisimmen;BE;596556;154301
Blatten (Lötschen);3919;0;Blatten;VS;629061;141222
Blatten b. Naters;3914;0;Naters;VS;641766;134507
Blauen;4223;0;Blauen;BL;606439;255518
Blausee-Mitholz;3717;0;Kandergrund;BE;617904;152854
Bleienbach;3368;0;Bleienbach;BE;624420;225866
Bleiken b. Oberdiessbach;3674;0;Oberdiessbach;BE;615281;185029
Blessens;1675;2;Rue;FR;554120;162388
Blignou (Ayent);1966;9;Ayent;VS;596803;124443
Blitzingen;3989;5;Blitzingen;VS;658680;143624
Blonay;1807;0;Blonay;VD;558195;146203
Blumenstein;3638;0;Blumenstein;BE;606585;176790
Bodio TI;6743;0;Bodio;TI;713333;137475
Bofflens;1353;0;Bofflens;VD;528133;172862
Bogis-Bossey;1279;2;Bogis-Bossey;VD;502066;134400
Bogno;6951;19;Lugano;TI;725667;105616
Bolken;4556;2;Bolken;SO;617254;226730
Boll;3067;0;Vechigen;BE;608406;200569
Bolligen;3065;0;Bolligen;BE;604928;202793
Bollingen;8715;0;Rapperswil-Jona;SG;710208;231058
Bollion;1470;4;Lully (FR);FR;553338;185285
Bollodingen;3366;2;Bettenhausen;BE;620243;223946
Boltigen;3766;0;Boltigen;BE;596602;164351
Bombinasco;6981;15;Curio;TI;708026;96793.8
Bonaduz;7402;0;Bonaduz;GR;749330;186588
Bonau;8554;3;Wigoltingen;TG;720608;271550
Boncourt;2926;0;Boncourt;JU;567944;260717
Bonfol;2944;0;Bonfol;JU;578054;258791
Boningen;4618;0;Boningen;SO;631453;239843
Boniswil;5706;0;Boniswil;AG;656800;240702
Bonnefontaine;1724;8;Le Mouret;FR;581935;176634
Bonstetten;8906;0;Bonstetten;ZH;677685;241277
Bonvillars;1427;0;Bonvillars;VD;541550;187935
Boppelsen;8113;0;Boppelsen;ZH;673193;258216
Borex;1277;0;Borex;VD;503007;137224
Borgnone;6658;0;Centovalli;TI;690973;112734
Borgonovo;7604;0;Bregaglia;GR;766837;135135
Bosco Luganese;6935;0;Bioggio;TI;713818;98275.5
Bosco/Gurin;6685;0;Bosco/Gurin;TI;681098;130028
Bossonnens;1615;0;Bossonnens;FR;554836;152447
Boswil;5623;0;Boswil;AG;665807;239579
Bottens;1041;33;Bottens;VD;540323;163555
Bottenwil;4814;0;Bottenwil;AG;642847;237249
Botterens;1652;0;Botterens;FR;575053;163389
Bottighofen;8598;0;Bottighofen;TG;733351;278191
Bottmingen;4103;0;Bottmingen;BL;610229;263899
Botyre (Ayent);1966;8;Ayent;VS;597459;125022
Boudevilliers;2043;0;Val-de-Ruz;NE;558294;208751
Boudry;2017;0;Boudry;NE;554209;200213
Bougy-Villars;1172;0;Bougy-Villars;VD;516712;148089
Boulens;1063;3;Boulens;VD;544943;170325
Bouloz;1699;3;Le Flon;FR;557496;162411
Bourg-St-Pierre;1946;0;Bourg-Saint-Pierre;VS;582468;88696
Bourguillon;1722;0;Fribourg;FR;580023;183236
Bournens;1035;0;Bournens;VD;532970;161768
