Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Rüti b. Lyssach;3421;2;Rüti bei Lyssach;BE;610978;211466
Rüti b. Riggisberg;3099;0;Riggisberg;BE;600847;181337
Rütihof;5406;2;Baden;AG;662880;254486
Rütli;6441;2;Seelisberg;UR;687833;202600
Rütschelen;4933;0;Rütschelen;BE;625203;224748
Rüttenen;4522;0;Rüttenen;SO;607303;231067
S-chanf;7525;0;S-chanf;GR;795031;165679
S. Antonino;6592;0;Sant'Antonino;TI;718340;112631
S. Antonio (Val Morobbia);6583;0;Sant'Antonio;TI;725629;114578
S. Benedetg;7174;0;Sumvitg;GR;714487;176908
S. Bernardino;6565;0;Mesocco;GR;734940;147407
S. Carlo (Poschiavo);7741;0;Poschiavo;GR;802100;135869
S. Carlo (Val Bavona);6690;1;Cevio;TI;683743;140296
S. Nazzaro;6575;0;Gambarogno;TI;705576;109933
S. Pietro;6854;0;Stabio;TI;716276;79733.6
S. Vittore;6534;0;San Vittore;GR;733096;116435
S. Vittore;6534;0;San Vittore;GR;728921;122150
Saanen;3792;0;Saanen;BE;586167;148795
Saanenmöser;3777;0;Saanen;BE;590261;151804
Saas im Prättigau;7247;0;Saas;GR;780509;198443
Saas-Almagell;3905;0;Saas-Almagell;VS;639760;104876
Saas-Balen;3908;0;Saas-Balen;VS;637931;111780
Saas-Fee;3906;0;Saas-Fee;VS;637954;106291
Saas-Grund;3910;0;Saas-Grund;VS;638711;107991
Sachseln;6072;0;Sachseln;OW;660570;190686
Saclentse;1996;4;Nendaz;VS;590743;113761
Safenwil;5745;0;Safenwil;AG;641465;241015
Safien Platz;7107;0;Safiental;GR;743554;171930
Safnern;2553;0;Safnern;BE;591592;222158
Sagno;6839;0;Breggia;TI;724466;79659.2
Sagogn;7152;0;Sagogn;GR;738813;183787
Saicourt;2732;2;Saicourt;BE;582506;232477
Saignelégier;2350;0;Saignelégier;JU;566471;233963
Saillon;1913;0;Saillon;VS;575537;115480
Saillon;1913;0;Saillon;VS;580391;113354
Sala Capriasca;6954;0;Capriasca;TI;717225;102813
Sala Capriasca;6954;0;Capriasca;TI;723171;107978
Saland;8493;0;Bauma;ZH;706776;249613
Salavaux;1585;0;Vully-les-Lacs;VD;568334;196284
Salenstein;8268;2;Salenstein;TG;721592;281106
Salez;9465;0;Sennwald;SG;756264;233896
Salgesch;3970;0;Salgesch;VS;610546;128889
Salins;1991;0;Sion;VS;593770;117548
Salmsach;8599;0;Salmsach;TG;745719;269016
Salorino;6872;0;Mendrisio;TI;720881;81317.2
Salouf;7462;0;Salouf;GR;763423;165895
Salvan;1922;0;Salvan;VS;567710;107767
Salvenach;1794;0;Salvenach;FR;578043;195755
Samedan;7503;0;Samedan;GR;786539;156513
Samnaun Dorf;7563;0;Samnaun;GR;822490;203042
Samnaun-Compatsch;7562;0;Samnaun;GR;825357;205384
Samstagern;8833;0;Richterswil;ZH;694226;227428
Sangernboden;1738;0;Guggisberg;BE;593431;173673
Sargans;7320;0;Sargans;SG;752745;212966
Sarmenstorf;5614;0;Sarmenstorf;AG;660790;240315
Sarn;7423;0;Cazis;GR;750479;176066
Sarnen;6060;0;Sarnen;OW;661796;193925
Sarreyer;1948;2;Bagnes;VS;585652;101325
Sarzens;1683;3;Sarzens;VD;554973;170286
Sassel;1534;0;Valbroye;VD;554727;179937
Sassel;1534;0;Valbroye;VD;555629;180838
Satigny;1242;0;Satigny;GE;491417;119506
Sattel;6417;0;Sattel;SZ;690804;215470
Saubraz;1189;0;Saubraz;VD;514947;152041
Saulcy;2873;0;Saulcy;JU;578488;239079
Saules;2063;4;Val-de-Ruz;NE;562028;209826
Saules BE;2732;3;Saules (BE);BE;583583;232781
Savagnier;2065;0;Val-de-Ruz;NE;563127;210819
Savigny;1073;0;Savigny;VD;545874;154276
Savognin;7460;0;Savognin;GR;765806;162772
Savosa;6942;0;Savosa;TI;716661;97494.7
Sax;9468;0;Sennwald;SG;752869;233016
Saxeten;3813;0;Saxeten;BE;630042;165106
Saxon;1907;0;Saxon;VS;580073;110460
Saxonne (Ayent);1966;5;Ayent;VS;597435;125523
Says;7202;0;Trimmis;GR;763185;197065
Scareglia;6951;17;Lugano;TI;723537;105574
Schaan;9494;0;;LI;756733;226748
Schaanwald;9486;0;;LI;760823;231314
Schachen LU;6105;0;Werthenstein;LU;653293;209697
Schachen b. Herisau;9112;0;Herisau;AR;735903;249429
Schachen b. Reute;9414;0;Reute (AR);AR;760335;254891
Schaffhausen;8203;0;Schaffhausen;SH;691766;283901
Schaffhausen;8200;0;Schaffhausen;SH;689165;284074
Schaffhausen;8207;0;Schaffhausen;SH;691319;286787
Schaffhausen;8208;0;Schaffhausen;SH;689823;285260
Schafhausen im Emmental;3415;2;Hasle bei Burgdorf;BE;616426;204803
Schafisheim;5503;0;Schafisheim;AG;653401;247475
Schalunen;3314;0;Fraubrunnen;BE;606652;217722
Schangnau;6197;0;Schangnau;BE;632437;186430
Scharans;7412;0;Scharans;GR;754889;176014
Scharnachtal;3722;0;Reichenbach im Kandertal;BE;620214;162608
Schattdorf;6467;0;Schattdorf;UR;693039;191049
Schattenhalb;3860;3;Schattenhalb;BE;657483;173141
Scheid;7419;0;Domleschg;GR;753672;182734
Schellenberg;9488;0;;LI;759966;233616
Schelten;2827;2;Schelten;BE;608514;242353
Schenkon;6214;0;Schenkon;LU;652830;224933
Scherz;5246;0;Scherz;AG;656231;255388
Scherzingen;8596;0;Münsterlingen;TG;734115;277228
Scheunen;3305;2;Jegenstorf;BE;601219;213232
Scheuren;2556;0;Scheuren;BE;591067;220420
Schiers;7220;0;Schiers;GR;770719;204520
Schiers;7220;0;Schiers;GR;777309;207552
Schindellegi;8834;0;Feusisberg;SZ;696581;225607
Schinznach Bad;5116;0;Schinznach-Bad;AG;655056;256151
Schinznach Dorf;5107;0;Schinznach;AG;652882;255645
Schlans;7168;0;Trun;GR;720436;179211
Schlatt TG;8252;0;Schlatt (TG);TG;694480;279718
Schlatt b. Winterthur;8418;0;Schlatt (ZH);ZH;704763;258248
Schlattingen;8255;0;Basadingen-Schlattingen;TG;700391;280019
Schleinikon;8165;3;Schleinikon;ZH;671945;261033
Schleitheim;8226;0;Schleitheim;SH;678739;289310
Schlierbach;6231;0;Schlierbach;LU;650843;230781
Schlieren;8952;0;Schlieren;ZH;676446;249669
Schliern b. Köniz;3098;1;Köniz;BE;598285;195348
Schlossrued;5044;0;Schlossrued;AG;649198;238186
Schlosswil;3082;0;Schlosswil;BE;613185;195302
Schluein;7151;0;Schluein;GR;736727;183334
Schmerikon;8716;0;Schmerikon;SG;713835;231563
Schmidigen-Mühleweg;3464;0;Walterswil (BE);BE;623156;216014
Schmidrüti;8495;0;Turbenthal;ZH;710525;252517
Schmidshof;9565;4;Bussnang;TG;721704;267231
Schmiedrued;5046;1;Schmiedrued;AG;650696;235780
Schmitten (Albula);7493;0;Schmitten (GR);GR;771235;173050
Schmitten FR;3185;0;Schmitten (FR);FR;585959;189203
Schnaus;7130;2;Ilanz/Glion;GR;733027;182135
Schnaus;7130;2;Ilanz/Glion;GR;732962;187184
Schneisingen;5425;0;Schneisingen;AG;669893;263700
Schnottwil;3253;0;Schnottwil;SO;596849;217862
Schocherswil;8581;0;Amriswil;TG;737603;266738
Schongau;6288;0;Schongau;LU;663029;235467
Schuders;7228;0;Schiers;GR;774816;207170
Schupfart;4325;0;Schupfart;AG;639462;262645
Schwaderloch;5326;0;Schwaderloch;AG;653201;270596
Schwadernau;2556;2;Schwadernau;BE;590071;219654
Schwanden (Sigriswil);3657;0;Sigriswil;BE;621372;176375
Schwanden GL;8762;0;Glarus Süd;GL;723868;206515
Schwanden b. Brienz;3855;41;Schwanden bei Brienz;BE;647343;178641
Schwanden im Emmental;3433;0;Rüderswil;BE;619463;203868
Schwarzenbach (Huttwil);4953;0;Huttwil;BE;629811;217412
Schwarzenbach LU;6215;2;Beromünster;LU;658603;231727
Schwarzenbach SG;9536;0;Jonschwil;SG;723195;255735
Schwarzenberg LU;6103;0;Schwarzenberg;LU;655541;207399
Schwarzenburg;3150;0;Schwarzenburg;BE;592180;185526
Schwarzenegg;3616;0;Unterlangenegg;BE;621082;182884
Schwarzhäusern;4911;0;Schwarzhäusern;BE;625085;233852
Schwarzsee;1716;3;Plaffeien;FR;588417;169051
Schweizersholz;9223;0;Bischofszell;TG;732417;262817
Schwellbrunn;9103;0;Schwellbrunn;AR;736712;246229
Schwende;9057;2;Schwende;AI;750911;240665
Schwenden im Diemtigtal;3757;0;Diemtigen;BE;603714;158205
Schwendi im Weisstannental;7325;0;Mels;SG;746233;208309
Schwendibach;3624;2;Schwendibach;BE;617054;179885
Schwerzenbach;8603;0;Schwerzenbach;ZH;691921;248438
Schwyz;6430;0;Schwyz;SZ;692370;208527
Schwändi b. Schwanden;8762;2;Glarus Süd;GL;723749;207562
Schänis;8718;0;Schänis;SG;721464;224311
Schöfflisdorf;8165;0;Schöfflisdorf;ZH;673900;261298
Schöftland;5040;0;Schöftland;AG;646283;239505
Schönenbaumgarten;8585;7;Langrickenbach;TG;734641;275211
Schönenberg ZH;8824;0;Schönenberg (ZH);ZH;691663;227719
Schönenberg an der Thur;9215;0;Kradolf-Schönenberg;TG;732126;264761
Schönenbuch;4124;0;Schönenbuch;BL;605064;264902
Schönengrund;9105;0;Schönengrund;AR;735288;243372
Schönenwerd;5012;0;Schönenwerd;SO;643225;246680
Schönholzerswilen;8577;0;Schönholzerswilen;TG;727830;264350
Schönried;3778;0;Saanen;BE;588668;150327
Schötz;6247;0;Schötz;LU;641461;224753
Schübelbach;8862;0;Schübelbach;SZ;712563;225768
Schüpbach;3535;0;Signau;BE;623010;197587
Schüpfen;3054;0;Schüpfen;BE;595739;209809
Schüpfheim;6170;0;Schüpfheim;LU;644345;200170
Scudellate;6838;3;Breggia;TI;724143;86821
Scuol;7550;0;Scuol;GR;818757;186521
Sedrun;7188;0;Tujetsch;GR;702731;170719
Seeberg;3365;2;Seeberg;BE;617119;222838
Seedorf BE;3267;0;Seedorf (BE);BE;590230;209145
Seedorf UR;6462;0;Seedorf (UR);UR;689325;193213
Seehof;2747;2;Seehof;BE;606528;239313
Seelisberg;6377;0;Seelisberg;UR;687277;203147
Seengen;5707;0;Seengen;AG;657652;242363
Seewen SO;4206;0;Seewen;SO;616405;253615
Seewen SZ;6423;0;Schwyz;SZ;690592;209616
Seewil;3256;3;Rapperswil (BE);BE;597773;210588
Seewis Dorf;7212;0;Seewis im Prättigau;GR;766969;206646
Seewis-Pardisla;7212;1;Seewis im Prättigau;GR;766850;205274
Seewis-Schmitten;7212;2;Seewis im Prättigau;GR;767518;205605
Seftigen;3662;0;Seftigen;BE;608031;181946
Segnas;7186;0;Disentis/Mustér;GR;706241;172321
Seigneux;1525;2;Valbroye;VD;557185;175364
Seiry;1470;3;Lully (FR);FR;553706;184727
Seleute;2888;0;Clos du Doubs;JU;575284;246187
Selkingen;3989;3;Grafschaft;VS;659335;145004
Selma;6545;0;Calanca;GR;729915;131200
Seltisberg;4411;0;Seltisberg;BL;620710;256688
Selzach;2545;0;Selzach;SO;601725;228184
Sembrancher;1933;0;Sembrancher;VS;577712;103007
Sementina;6514;0;Sementina;TI;719735;115799
Semione;6714;0;Serravalle;TI;717879;140746
Sempach;6204;0;Sempach;LU;657689;220504
Sempach Station;6203;0;Neuenkirch;LU;657252;218456
Semsales;1623;0;Semsales;FR;560831;158084
Senarclens;1304;4;Senarclens;VD;527237;161501
Sennhof (Winterthur);8482;0;Winterthur;ZH;699465;258435
Sennwald;9466;0;Sennwald;SG;756584;237032
Sent;7554;0;Scuol;GR;821672;189225
Senèdes;1724;6;Senèdes;FR;577380;176843
Seon;5703;0;Seon;AG;654805;244614
Sergey;1355;2;Sergey;VD;528259;178157
Serneus;7249;0;Klosters-Serneus;GR;783000;196086
Serpiano;6867;0;Brusino Arsizio;TI;715637;85569.1
Servion;1077;0;Servion;VD;549922;158743
Seseglio;6832;1;Chiasso;TI;721268;76194.8
Sessa;6997;0;Sessa;TI;706920;95274.7
Seuzach;8472;0;Seuzach;ZH;696714;265891
Sevelen;9475;0;Sevelen;SG;755039;221742
Sevgein;7127;0;Ilanz/Glion;GR;735960;180891
Sfazù;7742;2;Poschiavo;GR;803222;140940
Siat;7157;0;Ilanz/Glion;GR;731779;183480
Siblingen;8225;0;Siblingen;SH;680895;285659
Siebnen;8854;0;Schübelbach;SZ;711253;226239
Siegershausen;8573;0;Kemmental;TG;730313;274817
Sierre;3960;0;Anniviers;VS;609670;123201
Sierre;3960;0;Sierre;VS;607537;126918
Siggenthal Station;5301;0;Untersiggenthal;AG;660209;263026
Sigigen;6019;0;Ruswil;LU;652907;212929
Sigirino;6806;0;Monteceneri;TI;714166;104371
Siglistorf;5462;0;Siglistorf;AG;671196;266452
Signau;3534;0;Signau;BE;621505;196620
Signy;1274;1;Signy-Avenex;VD;504889;138491
Signèse (Ayent);1966;11;Ayent;VS;597106;122892
Signôra;6951;23;Lugano;TI;724353;105815
Sigriswil;3655;0;Sigriswil;BE;621519;174100
Sihlbrugg;6340;4;Neuheim;ZG;686343;230147
Sihlbrugg Station;8135;2;Horgen;ZH;686014;233042
Sihlwald;8135;3;Horgen;ZH;684566;235791
Silenen;6473;0;Silenen;UR;693990;182858
Sils im Domleschg;7411;0;Sils im Domleschg;GR;754362;174192
Sils/Segl Baselgia;7515;0;Sils im Engadin/Segl;GR;778012;144953
Sils/Segl Maria;7514;0;Sils im Engadin/Segl;GR;778900;144702
Silvaplana;7513;0;Silvaplana;GR;780836;148301
Silvaplana-Surlej;7513;2;Silvaplana;GR;782451;148107
Simplon Dorf;3907;0;Simplon;VS;647363;116108
Sins;5643;0;Sins;AG;668799;226651
Sins;5643;0;Sins;AG;672505;227517
Sion;1950;0;Sion;VS;593682;119792
Sirnach;8370;0;Sirnach;TG;717868;257702
Siselen BE;2577;0;Siselen;BE;580970;208947
Sisikon;6452;0;Sisikon;UR;690206;200346
Sissach;4450;0;Sissach;BL;628447;257843
Sisseln AG;4334;0;Sisseln;AG;641153;266969
Sitterdorf;8589;0;Zihlschlacht-Sitterdorf;TG;736113;263276
Siviez (Nendaz);1997;1;Nendaz;VS;590761;109274
Siviriez;1678;0;Siviriez;FR;557248;167554
Soazza;6562;0;Soazza;GR;736870;136516
Sobrio;6749;0;Sobrio;TI;712510;139783
Soglio;7610;0;Bregaglia;GR;761790;134552
Solduno;6600;4;Locarno;TI;703489;114170
Solothurn;4500;0;Solothurn;SO;606859;228396
Somazzo;6872;1;Mendrisio;TI;720669;81962.7
Someo;6674;0;Maggia;TI;694349;126956
Sommentier;1688;0;Vuisternens-devant-Romont;FR;559692;165367
Sommeri;8580;3;Sommeri;TG;739053;270532
Sonceboz-Sombeval;2605;0;Sonceboz-Sombeval;BE;579535;227161
Sonnental;9245;2;Oberbüren;SG;728242;257779
Sonogno;6637;0;Sonogno;TI;703724;134050
Sonterswil;8564;3;Wäldi;TG;723494;275679
Sonvico;6968;0;Lugano;TI;720167;102130
Sonvilier;2615;0;Sonvilier;BE;564020;221108
Sool;8762;3;Glarus Süd;GL;725628;206741
Soral;1286;0;Soral;GE;492170;111328
Sorengo;6924;0;Sorengo;TI;715864;95375
Sorens;1642;0;Sorens;FR;571047;168702
Sornard (Nendaz);1997;2;Nendaz;VS;589538;115263
Sornetan;2716;0;Petit-Val;BE;582999;235930
Sorvilier;2736;0;Sorvilier;BE;590139;231849
Sottens;1062;0;Jorat-Menthue;VD;546685;167375
Soubey;2887;0;Soubey;JU;570500;239926
Souboz;2748;0;Petit-Val;BE;585308;236021
Soulce;2864;0;Haute-Sorne;JU;587127;239087
Soyhières;2805;0;Soyhières;JU;595027;249016
Speicher;9042;0;Speicher;AR;751019;252995
Speicherschwendi;9037;0;Speicher;AR;751092;254827
Spiegel b. Bern;3095;0;Köniz;BE;599714;197070
Spiez;3700;0;Spiez;BE;617885;170794
Spiringen;6464;0;Spiringen;UR;698326;191906
Splügen;7435;0;Splügen;GR;744195;157520
Spreitenbach;8957;0;Spreitenbach;AG;669365;252387
Spruga;6663;2;Onsernone;TI;687144;117201
St-Aubin FR;1566;0;Saint-Aubin (FR);FR;565073;193326
St-Aubin-Sauges;2024;0;Saint-Aubin-Sauges;NE;549323;194044
St-Barthélemy VD;1040;3;Saint-Barthélemy (VD);VD;535380;165104
St-Blaise;2072;0;Saint-Blaise;NE;565650;207029
St-Brais;2364;0;Saint-Brais;JU;575335;239400
St-Cergue;1264;0;Saint-Cergue;VD;501662;144870
St-Cierges;1410;5;Montanaire;VD;545978;171150
St-George;1188;2;Saint-George;VD;509744;152167
St-Germain (Savièse);1965;4;Savièse;VS;593125;122202
St-Gingolph;1898;0;Saint-Gingolph;VS;551187;138112
St-Imier;2610;0;Saint-Imier;BE;566485;222496
St-Jean VS;3961;41;Anniviers;VS;610920;116294
St-Livres;1176;0;Saint-Livres;VD;519259;151214
St-Luc;3961;22;Anniviers;VS;612312;119000
St-Légier-La Chiésaz;1806;0;Saint-Légier-La Chiésaz;VD;557399;146822
St-Léonard;1958;0;Saint-Léonard;VS;598544;122718
St-Martin FR;1609;0;Saint-Martin (FR);FR;556363;158450
St-Martin VS;1969;0;Saint-Martin (VS);VS;600445;113660
St-Maurice;1890;0;Saint-Maurice;VS;566388;118528
St-Oyens;1187;0;Saint-Oyens;VD;513292;150348
St-Pierre-de-Clages;1955;5;Chamoson;VS;584749;115669
St-Prex;1162;0;Saint-Prex;VD;524715;148250
St-Romain (Ayent);1966;4;Ayent;VS;597988;125754
St-Saphorin (Lavaux);1071;2;Saint-Saphorin (Lavaux);VD;550651;147101
St-Saphorin-sur-Morges;1113;0;Echichens;VD;527053;155364
St-Sulpice NE;2123;0;Val-de-Travers;NE;533227;195927
St-Sulpice VD;1025;0;Saint-Sulpice (VD);VD;532560;151236
St-Séverin;1975;0;Conthey;VS;589526;120818
St-Triphon;1867;2;Ollon;VD;564540;126912
St-Ursanne;2882;0;Clos du Doubs;JU;578468;246019
St-Ursanne;2882;0;Saint-Brais;JU;575298;241132
St. Antoni;1713;0;St. Antoni;FR;586746;185507
St. Antönien;7246;0;St. Antönien;GR;780928;204949
St. Erhard;6212;0;Knutwil;LU;648174;225942
St. Gallen;9012;0;St. Gallen;SG;745127;252831
St. Gallen;9000;0;St. Gallen;SG;745132;254315
St. Gallen;9015;0;St. Gallen;SG;741190;252213
St. Gallen;9016;0;St. Gallen;SG;748992;256398
St. Gallen;9008;0;St. Gallen;SG;747312;256391
St. Gallen;9010;0;St. Gallen;SG;745796;256401
St. Gallen;9011;0;St. Gallen;SG;746488;254197
St. Gallen;9014;0;St. Gallen;SG;743158;252655
St. Gallenkappel;8735;0;Eschenbach (SG);SG;716047;234124
St. German;3942;3;Raron;VS;629431;128965
St. Josefen;9030;3;Gaiserwald;SG;743384;254608
St. Margarethen TG;9543;0;Münchwilen (TG);TG;717809;261300
St. Margrethen SG;9430;0;St. Margrethen;SG;764927;258205
St. Margrethenberg;7313;0;Pfäfers;SG;757742;204707
St. Martin (Lugnez);7116;2;Vals;GR;733511;170647
St. Moritz;7500;0;St. Moritz;GR;783661;151985
St. Niklaus VS;3924;0;St. Niklaus;VS;628144;114096
St. Niklausen LU;6005;2;Horw;LU;668557;207980
St. Niklausen OW;6066;0;Kerns;OW;664390;191837
St. Pantaleon;4421;0;Nuglar-St. Pantaleon;SO;618826;256482
St. Pelagiberg;9225;1;Hauptwil-Gottshaus;TG;740453;261490
St. Peter;7028;0;Arosa;GR;768550;189426
St. Peterzell;9127;0;Neckertal;SG;731312;242283
St. Silvester;1736;0;St. Silvester;FR;583598;176830
St. Stephan;3772;0;St. Stephan;BE;597058;150468
St. Urban;4915;0;Pfaffnau;LU;630373;231353
St. Ursen;1717;0;St. Ursen;FR;583089;182079
Sta. Maria Val Müstair;7536;0;Val Müstair;GR;828598;165466
Sta. Maria in Calanca;6541;0;Santa Maria in Calanca;GR;731562;125163
Staad SG;9422;0;Thal;SG;758539;260993
Stabio;6855;0;Stabio;TI;716577;78852.6
Stachen;9320;3;Arbon;TG;748652;263373
Stadel (Winterthur);8404;3;Winterthur;ZH;699839;265800
Stadel b. Niederglatt;8174;0;Stadel;ZH;677763;264796
Staffelbach;5053;0;Staffelbach;AG;645672;237156
Stalden (Sarnen);6063;0;Sarnen;OW;658684;193206
Stalden VS;3922;0;Stalden (VS);VS;633169;120377
Staldenried;3933;0;Staldenried;VS;634641;119867
Stallikon;8143;0;Stallikon;ZH;679727;242011
Stampa;7605;0;Bregaglia;GR;765504;134777
Stans;6370;0;Stans;NW;670100;201173
Stansstad;6362;0;Stansstad;NW;668550;203229
Starrkirch-Wil;4656;0;Starrkirch-Wil;SO;637062;244320
Staufen;5603;0;Staufen;AG;654596;248153
Ste-Croix;1450;0;Sainte-Croix;VD;528604;186215
Stechelberg;3824;0;Lauterbrunnen;BE;635507;155302
Steckborn;8266;0;Steckborn;TG;716021;280710
Steffisburg;3613;0;Steffisburg;BE;613435;179999
Steffisburg;3612;0;Steffisburg;BE;614226;180702
Steg VS;3940;0;Steg-Hohtenn;VS;624130;129030
Steg im Tösstal;8496;0;Fischenthal;ZH;712850;245858
Stehrenberg;9503;0;Bussnang;TG;724343;264931
Stein AG;4332;0;Stein (AG);AG;638942;266353
Stein AR;9063;0;Stein (AR);AR;744068;248835
Stein SG;9655;0;Nesslau;SG;735721;229193
Stein am Rhein;8260;0;Stein am Rhein;SH;707197;280060
Steinach;9323;0;Steinach;SG;750791;263244
Steinebrunn;9314;0;Egnach;TG;743614;266758
Steinen;6422;0;Steinen;SZ;689147;211362
Steinerberg;6416;0;Steinerberg;SZ;687069;212239
Steinhaus;3995;4;Ernen;VS;656886;141351
Steinhaus;3995;4;Ernen;VS;661480;140536
Steinhausen;6312;0;Steinhausen;ZG;679691;228074
Steinhof SO;4556;4;Aeschi (SO);SO;618783;223161
Steinhuserberg;6114;0;Wolhusen;LU;646187;210392
Steinmaur;8162;0;Steinmaur;ZH;676529;260899
Stels;7226;0;Schiers;GR;779409;209283
Stels;7226;0;Schiers;GR;773406;204183
Sternenberg;8499;0;Bauma;ZH;711544;249491
Stetten AG;5608;0;Stetten (AG);AG;665164;250451
Stetten SH;8234;0;Stetten (SH);SH;691418;288447
Stettfurt;9507;0;Stettfurt;TG;714613;264922
Stettlen;3066;0;Bolligen;BE;606819;201417
Stierva;7459;0;Albula/Alvra;GR;760715;170307
Stilli;5233;0;Villigen;AG;659720;263162
Stoos SZ;6433;0;Morschach;SZ;693269;203993
Strada;7558;0;Valsot;GR;828410;194678
Strengelbach;4802;0;Strengelbach;AG;636429;236814
Studen BE;2557;0;Studen (BE);BE;589724;218014
Studen SZ;8845;0;Unteriberg;SZ;705954;214539
Stugl/Stuls;7482;2;Bergün/Bravuogn;GR;775606;169096
Stäfa;8712;0;Stäfa;ZH;697853;232808
Stüsslingen;4655;0;Stüsslingen;SO;640439;249410
Suberg;3262;0;Grossaffoltern;BE;592159;212296
Subingen;4553;0;Subingen;SO;613954;227317
Suchy;1433;0;Suchy;VD;535810;174928
Suen (St-Martin);1969;4;Saint-Martin (VS);VS;600100;114479
Sufers;7434;0;Sufers;GR;747819;159696
Sugiez;1786;0;Bas-Vully;FR;575201;201252
Sugnens;1043;0;Montilliez;VD;541235;167423
Suhr;5034;0;Suhr;AG;648928;247180
Sulgen;8583;0;Sulgen;TG;731209;267103
Sullens;1036;0;Sullens;VD;533210;160708
Sulz AG;5085;0;Laufenburg;AG;649139;265166
Sulz LU;6284;2;Hitzkirch;LU;664403;230257
Sulzbach;8614;2;Uster;ZH;698873;242834
Sumiswald;3454;0;Sumiswald;BE;623485;208943
Summaprada;7421;0;Cazis;GR;752626;175661
Sumvitg;7175;0;Sumvitg;GR;714616;176129
Sundlauenen;3800;5;Beatenberg;BE;627315;170551
Sur;7456;0;Sur;GR;768428;154739
Surava;7472;0;Albula/Alvra;GR;766488;170415
Surcasti;7115;0;Lumnezia;GR;732857;173120
Surcuolm;7138;0;Mundaun;GR;730497;180025
Surin;7148;2;Lumnezia;GR;728560;169631
Surpierre;1528;0;Surpierre;FR;555883;177251
Surrein;7173;0;Sumvitg;GR;715589;175602
Sursee;6210;0;Sursee;LU;650851;224923
Susch;7542;0;Zernez;GR;801432;181140
Suscévaz;1437;0;Suscévaz;VD;534253;179589
Susten;3952;0;Leuk;VS;616144;128537
Sutz;2572;0;Sutz-Lattrigen;BE;583168;217022
Syens;1510;2;Syens;VD;549481;166300
Sâles (Gruyère);1625;0;Sâles;FR;564355;165035
Säriswil;3049;0;Wohlen bei Bern;BE;592129;204382
Sédeilles;1554;0;Villarzel;VD;561353;177703
Sévaz;1541;3;Sévaz;FR;557041;187693
Sévery;1141;0;Sévery;VD;523296;158781
Sörenberg;6174;0;Flühli;LU;645299;185974
Süderen;3618;0;Röthenbach im Emmental;BE;624455;185288
Sünikon;8162;1;Steinmaur;ZH;674933;260444
Tafers;1712;0;Tafers;FR;583048;185211
Tagelswangen;8317;0;Lindau;ZH;692796;253756
Tamins;7015;0;Tamins;GR;750477;188659
Tann;8632;0;Dürnten;ZH;706634;235910
Tannay;1295;2;Tannay;VD;502752;129385
Tarasp;7553;0;Scuol;GR;815792;184394
Tartar;7422;0;Cazis;GR;751467;176159
Tartegnin;1180;2;Tartegnin;VD;513698;146735
Tatroz;1617;2;Attalens;FR;556298;152921
Tavanasa;7162;0;Breil/Brigels;GR;724246;179511
Tavannes;2710;0;Tavannes;BE;581728;230091
Taverne;6807;0;Torricella-Taverne;TI;715584;102917
Tecknau;4492;0;Tecknau;BL;633376;255463
Tegerfelden;5306;0;Tegerfelden;AG;663738;267863
Tegna;6652;0;Terre di Pedemonte;TI;700807;115805
Tenero;6598;0;Tenero-Contra;TI;708955;115321
Tenna;7106;0;Safiental;GR;744985;179118
Tenniken;4456;0;Tenniken;BL;628498;254038
Tennwil;5617;0;Meisterschwanden;AG;659153;239835
Tentlingen;1734;0;Tentlingen;FR;581782;179900
Termen;3912;0;Termen;VS;645085;131099
Termine;6998;0;Monteggio;TI;704950;95082.3
Territet;1820;5;Montreux;VD;560375;141847
Tersnaus;7116;0;Lumnezia;GR;733748;172710
Tesserete;6950;0;Capriasca;TI;718362;103291
Teufen AR;9053;0;Teufen (AR);AR;747675;250694
Teufen ZH;8428;0;Freienstein-Teufen;ZH;685181;267330
Teufenthal AG;5723;0;Teufenthal (AG);AG;651944;242143
Teuffenthal b. Thun;3623;0;Teuffenthal (BE);BE;620812;179550
Thal;9425;0;Thal;SG;760638;259321
Thalheim AG;5112;0;Thalheim (AG);AG;650104;254122
Thalheim an der Thur;8478;0;Thalheim an der Thur;ZH;698658;270641
Thalkirch;7109;0;Safiental;GR;741017;167019
Thalwil;8800;0;Thalwil;ZH;685437;238406
Thayngen;8240;0;Thayngen;SH;695433;289314
Theilingen;8484;3;Weisslingen;ZH;700380;252860
Therwil;4106;0;Therwil;BL;608231;260643
Thielle;2075;1;La Tène;NE;568908;207872
Thierachern;3634;0;Thierachern;BE;610519;177824
Thierrens;1410;0;Montanaire;VD;547811;172651
Thun;3603;0;Thun;BE;612338;178997
Thun;3600;0;Thun;BE;614716;178636
Thun;3604;0;Thun;BE;613914;176609
Thun;3608;0;Thun;BE;612244;176539
Thundorf;8512;0;Thundorf;TG;715125;267203
Thunersee;9999;1;;BE;621181;170794
Thunstetten;4922;2;Thunstetten;BE;623714;227887
Thusis;7430;0;Thusis;GR;753262;174792
Thyon;1988;1;Vex;VS;595092;113835
Thônex;1226;0;Thônex;GE;504269;115958
Thônex;1226;0;Thônex;GE;503198;115533
Thörigen;3367;0;Thörigen;BE;622066;224929
Thörishaus;3174;0;Köniz;BE;593581;193637
